#multi:
;A;;T;;E;;M;;C;;5Mt;;
t;x;y;x;y;x;y;x;y;x;y;x;y;
1,434;0,645;1,969;0,606;1,221;0,428;0,654;0,115;0,235;5,166E-2;0,240;0,186;8,486E-2
1,451;0,646;1,967;0,614;1,216;0,440;0,648;0,103;0,250;4,331E-2;0,250;0,156;8,886E-2
1,467;0,647;1,966;0,624;1,213;0,458;0,642;9,784E-2;0,265;3,102E-2;0,296;0,129;9,465E-2
1,484;0,646;1,968;0,633;1,210;0,481;0,632;9,689E-2;0,280;5,416E-2;0,317;0,103;0,104
1,501;0,648;1,971;0,641;1,207;0,509;0,623;0,102;0,298;6,216E-2;0,343;8,686E-2;0,122
1,517;0,649;1,976;0,646;1,205;0,540;0,615;0,117;0,320;8,451E-2;0,371;8,491E-2;0,148
1,534;0,649;1,981;0,649;1,206;0,573;0,610;0,137;0,342;0,108;0,388;0,101;0,169
1,551;0,648;1,986;0,650;1,209;0,607;0,608;0,167;0,357;0,142;0,406;0,134;0,183
1,567;0,644;1,992;0,647;1,214;0,642;0,612;0,199;0,362;0,171;0,406;0,175;0,188
1,584;0,641;1,998;0,645;1,222;0,677;0,618;0,239;0,361;0,197;0,402;0,226;0,187
1,601;0,637;2,005;0,641;1,230;0,708;0,627;0,279;0,353;0,247;0,378;0,285;0,179
1,617;0,633;2,010;0,639;1,239;0,737;0,637;0,324;0,339;0,270;0,370;0,348;0,168
1,634;0,629;2,016;0,636;1,247;0,765;0,648;0,372;0,320;0,320;0,342;0,416;0,157
1,651;0,624;2,019;0,634;1,254;0,789;0,661;0,424;0,297;0,366;0,315;0,480;0,145
1,667;0,620;2,022;0,634;1,261;0,811;0,672;0,480;0,271;0,460;0,260;0,554;0,131
1,684;0,617;2,022;0,634;1,266;0,827;0,681;0,538;0,245;0,491;0,241;0,626;0,117
1,701;0,614;2,021;0,636;1,268;0,841;0,688;0,599;0,219;0,549;0,208;0,705;0,104
1,717;0,612;2,018;0,636;1,269;0,854;0,692;0,666;0,195;0,614;0,175;0,784;9,496E-2
1,734;0,609;2,014;0,637;1,268;0,865;0,694;0,734;0,173;0,682;0,121;0,867;9,111E-2
1,751;0,608;2,009;0,637;1,265;0,873;0,694;0,808;0,157;0,771;0,102;0,949;9,414E-2
1,767;0,607;2,002;0,639;1,260;0,879;0,692;0,877;0,147;0,838;8,716E-2;1,030;0,105
1,784;0,606;1,995;0,641;1,253;0,883;0,688;0,948;0,144;0,914;8,825E-2;1,106;0,124
1,801;0,604;1,987;0,643;1,245;0,887;0,683;1,013;0,150;0,987;8,178E-2;1,174;0,147
1,817;0,601;1,980;0,645;1,235;0,892;0,677;1,064;0,159;1,031;8,292E-2;1,226;0,170
1,834;0,599;1,973;0,649;1,226;0,897;0,672;1,101;0,167;1,092;8,961E-2;1,263;0,185
1,851;0,596;1,967;0,653;1,221;0,901;0,670;1,123;0,169;1,116;9,595E-2;1,284;0,192
1,867;0,594;1,961;0,657;1,217;0,907;0,668;1,128;0,165;1,116;9,595E-2;1,288;0,186
1,884;0,591;1,956;0,662;1,213;0,914;0,666;1,118;0,155;1,089;8,204E-2;1,279;0,171
1,901;0,589;1,951;0,666;1,211;0,921;0,664;1,098;0,142;1,065;7,211E-2;1,259;0,151
1,917;0,588;1,949;0,672;1,209;0,927;0,661;1,072;0,129;1,043;6,617E-2;1,233;0,130
1,934;0,589;1,947;0,682;1,207;0,927;0,654;1,051;0,125;1,014;7,019E-2;1,216;0,110
1,951;0,589;1,946;0,691;1,210;0,926;0,653;1,036;0,124;0,989;6,744E-2;1,193;9,366E-2
1,967;0,587;1,949;0,697;1,223;0,927;0,662;1,001;0,123;0,948;7,387E-2;1,160;8,093E-2
1,984;0,588;1,953;0,698;1,236;0,926;0,666;0,968;0,122;0,904;7,631E-2;1,125;6,962E-2
2,001;0,587;1,959;0,697;1,247;0,918;0,667;0,936;0,119;0,882;8,113E-2;1,091;6,202E-2
2,017;0,589;1,964;0,694;1,253;0,905;0,666;0,902;0,118;0,835;7,601E-2;1,055;5,944E-2
2,034;0,592;1,970;0,691;1,256;0,888;0,664;0,866;0,118;0,800;7,207E-2;1,019;5,892E-2
2,051;0,595;1,977;0,686;1,259;0,866;0,663;0,829;0,119;0,774;7,291E-2;0,981;5,874E-2
2,067;0,598;1,984;0,681;1,264;0,844;0,661;0,794;0,120;0,731;6,818E-2;0,945;5,861E-2
2,084;0,601;1,992;0,677;1,268;0,822;0,659;0,760;0,121;0,690;7,461E-2;0,909;5,895E-2
2,101;0,605;1,999;0,674;1,271;0,796;0,657;0,724;0,122;0,669;7,225E-2;0,872;5,931E-2
2,117;0,607;2,005;0,669;1,273;0,772;0,655;0,688;0,122;0,624;8,546E-2;0,834;5,960E-2
